datum;kijkers
2017-04-26T00:00:00.000000;887.644
2017-04-27T00:00:00.000000;940.654
2017-04-28T00:00:00.000000;809.039
2017-04-29T00:00:00.000000;647.669
2017-04-30T00:00:00.000000;741.202
2017-05-01T00:00:00.000000;908.342
2017-05-02T00:00:00.000000;1.006.385
2017-05-03T00:00:00.000000;858.237
2017-05-05T00:00:00.000000;768.351
2017-05-06T00:00:00.000000;627.959
2017-05-07T00:00:00.000000;918.097
2017-05-08T00:00:00.000000;948.690
2017-05-09T00:00:00.000000;870.925
2017-05-10T00:00:00.000000;872.183
2017-05-11T00:00:00.000000;949.415
2017-05-12T00:00:00.000000;826.279
2017-05-13T00:00:00.000000;711.275
2017-05-14T00:00:00.000000;736.566
2017-05-15T00:00:00.000000;905.035
2017-05-16T00:00:00.000000;841.273
2017-05-17T00:00:00.000000;728.399
2017-05-18T00:00:00.000000;897.608
2017-05-19T00:00:00.000000;840.837
2017-05-20T00:00:00.000000;643.812
2017-05-21T00:00:00.000000;725.215
2017-05-22T00:00:00.000000;793.152
2017-05-23T00:00:00.000000;922.224
2017-05-24T00:00:00.000000;701.838
2017-05-25T00:00:00.000000;676.327
2017-05-26T00:00:00.000000;629.149
2017-05-27T00:00:00.000000;513.421
2017-05-28T00:00:00.000000;718.782
2017-05-29T00:00:00.000000;773.735
2017-05-30T00:00:00.000000;961.379
2017-05-31T00:00:00.000000;729.304
2017-06-01T00:00:00.000000;766.406
2017-06-02T00:00:00.000000;631.365
2017-06-03T00:00:00.000000;655.847
2017-06-04T00:00:00.000000;703.313
2017-06-05T00:00:00.000000;806.958
2017-06-06T00:00:00.000000;926.699
2017-06-07T00:00:00.000000;847.590
2017-06-08T00:00:00.000000;858.952
2017-06-09T00:00:00.000000;662.113
2017-06-10T00:00:00.000000;523.986
2017-06-11T00:00:00.000000;636.571
2017-06-12T00:00:00.000000;834.071
2017-06-13T00:00:00.000000;779.204
2017-06-14T00:00:00.000000;776.918
2017-06-15T00:00:00.000000;696.770
2017-06-16T00:00:00.000000;716.480
2017-06-17T00:00:00.000000;555.509
2017-06-18T00:00:00.000000;758.633
2017-06-19T00:00:00.000000;786.935
2017-06-20T00:00:00.000000;716.580
2017-06-21T00:00:00.000000;737.158
2017-06-22T00:00:00.000000;740.252
2017-06-23T00:00:00.000000;794.369
2017-06-24T00:00:00.000000;561.046
2017-06-25T00:00:00.000000;700.627
2017-06-26T00:00:00.000000;777.828
2017-06-27T00:00:00.000000;852.738
2017-06-28T00:00:00.000000;750.775
2017-06-29T00:00:00.000000;744.653
2017-06-30T00:00:00.000000;714.086
2017-07-01T00:00:00.000000;639.901
2017-07-02T00:00:00.000000;697.294
2017-07-03T00:00:00.000000;821.054
2017-07-04T00:00:00.000000;813.811
2017-07-05T00:00:00.000000;681.340
2017-07-06T00:00:00.000000;710.695
2017-07-07T00:00:00.000000;537.900
2017-07-08T00:00:00.000000;541.909
2017-07-09T00:00:00.000000;543.925
2017-07-10T00:00:00.000000;822.691
2017-07-11T00:00:00.000000;823.392
2017-07-12T00:00:00.000000;774.576
2017-07-13T00:00:00.000000;693.663
2017-07-14T00:00:00.000000;726.146
2017-07-15T00:00:00.000000;689.933
2017-07-16T00:00:00.000000;739.127
2017-07-17T00:00:00.000000;647.098
2017-07-18T00:00:00.000000;668.628
2017-07-19T00:00:00.000000;758.696
2017-07-20T00:00:00.000000;621.214
2017-07-21T00:00:00.000000;624.515
2017-07-22T00:00:00.000000;632.514
2017-07-23T00:00:00.000000;417.240
2017-07-24T00:00:00.000000;813.681
2017-07-25T00:00:00.000000;744.616
2017-07-26T00:00:00.000000;735.485
2017-07-27T00:00:00.000000;803.477
2017-07-28T00:00:00.000000;748.830
2017-07-29T00:00:00.000000;653.170
2017-07-30T00:00:00.000000;635.526
2017-07-31T00:00:00.000000;777.944
2017-08-01T00:00:00.000000;709.956
2017-08-02T00:00:00.000000;703.588
2017-08-03T00:00:00.000000;810.888
2017-08-04T00:00:00.000000;697.161
2017-08-05T00:00:00.000000;657.729
2017-08-06T00:00:00.000000;615.848
2017-08-07T00:00:00.000000;703.701
2017-08-08T00:00:00.000000;823.032
2017-08-09T00:00:00.000000;750.251
2017-08-10T00:00:00.000000;953.311
2017-08-11T00:00:00.000000;724.033
2017-08-12T00:00:00.000000;691.842
2017-08-13T00:00:00.000000;654.663
2017-08-14T00:00:00.000000;599.953
2017-08-15T00:00:00.000000;773.068
2017-08-16T00:00:00.000000;687.312
2017-08-17T00:00:00.000000;800.250
2017-08-18T00:00:00.000000;792.236
2017-08-19T00:00:00.000000;675.035
2017-08-20T00:00:00.000000;669.532
2017-08-21T00:00:00.000000;897.003
2017-08-22T00:00:00.000000;736.640
2017-08-23T00:00:00.000000;667.192
2017-08-24T00:00:00.000000;754.040
2017-08-25T00:00:00.000000;688.800
2017-08-26T00:00:00.000000;649.386
2017-08-27T00:00:00.000000;557.534
2017-08-28T00:00:00.000000;757.982
2017-08-29T00:00:00.000000;717.494
2017-08-30T00:00:00.000000;928.699
2017-08-31T00:00:00.000000;900.736
2017-09-01T00:00:00.000000;791.505
2017-09-02T00:00:00.000000;611.539
2017-09-03T00:00:00.000000;679.852
2017-09-04T00:00:00.000000;886.429
2017-09-05T00:00:00.000000;834.488
2017-09-06T00:00:00.000000;813.728
2017-09-07T00:00:00.000000;979.613
2017-09-08T00:00:00.000000;953.418
2017-09-09T00:00:00.000000;611.748
2017-09-10T00:00:00.000000;843.407
2017-09-11T00:00:00.000000;994.140
2017-09-12T00:00:00.000000;872.249
2017-09-13T00:00:00.000000;823.678
2017-09-14T00:00:00.000000;959.652
2017-09-15T00:00:00.000000;777.928
2017-09-16T00:00:00.000000;683.244
2017-09-17T00:00:00.000000;655.047
2017-09-18T00:00:00.000000;949.832
2017-09-19T00:00:00.000000;932.533
2017-09-20T00:00:00.000000;955.454
2017-09-21T00:00:00.000000;918.769
2017-09-22T00:00:00.000000;733.464
2017-09-23T00:00:00.000000;674.105
2017-09-24T00:00:00.000000;774.314
2017-09-25T00:00:00.000000;997.354
2017-09-26T00:00:00.000000;938.994
2017-09-27T00:00:00.000000;891.091
2017-09-28T00:00:00.000000;869.504
2017-09-29T00:00:00.000000;875.885
2017-09-30T00:00:00.000000;646.155
2017-10-01T00:00:00.000000;894.019
2017-10-02T00:00:00.000000;1.115.365
2017-10-03T00:00:00.000000;961.628
2017-10-04T00:00:00.000000;922.206
2017-10-05T00:00:00.000000;989.684
2017-10-06T00:00:00.000000;956.163
2017-10-08T00:00:00.000000;928.786
2017-10-09T00:00:00.000000;1.074.066
2017-10-10T00:00:00.000000;1.112.264
2017-10-11T00:00:00.000000;1.003.779
2017-10-12T00:00:00.000000;1.005.124
2017-10-13T00:00:00.000000;865.861
2017-10-14T00:00:00.000000;771.310
2017-10-15T00:00:00.000000;748.445
2017-10-16T00:00:00.000000;1.051.764
2017-10-17T00:00:00.000000;1.006.292
2017-10-18T00:00:00.000000;919.081
2017-10-19T00:00:00.000000;838.468
2017-10-20T00:00:00.000000;866.131
2017-10-21T00:00:00.000000;755.632
2017-10-22T00:00:00.000000;975.331
2017-10-23T00:00:00.000000;1.120.036
2017-10-24T00:00:00.000000;1.166.432
2017-10-25T00:00:00.000000;1.009.109
2017-10-26T00:00:00.000000;1.019.070
2017-10-27T00:00:00.000000;941.116
2017-10-28T00:00:00.000000;818.297
2017-10-29T00:00:00.000000;1.007.938
2017-10-30T00:00:00.000000;1.215.449
2017-10-31T00:00:00.000000;1.047.590
2017-11-01T00:00:00.000000;1.075.759
2017-11-02T00:00:00.000000;1.105.271
2017-11-03T00:00:00.000000;973.362
2017-11-04T00:00:00.000000;819.869
2017-11-05T00:00:00.000000;1.020.678
2017-11-06T00:00:00.000000;1.075.932
2017-11-07T00:00:00.000000;1.054.489
2017-11-08T00:00:00.000000;1.091.947
2017-11-09T00:00:00.000000;1.007.981
2017-11-10T00:00:00.000000;980.990
2017-11-11T00:00:00.000000;938.725
2017-11-12T00:00:00.000000;1.051.532
2017-11-13T00:00:00.000000;1.168.239
2017-11-14T00:00:00.000000;1.118.007
2017-11-15T00:00:00.000000;1.087.418
2017-11-16T00:00:00.000000;1.097.596
2017-11-17T00:00:00.000000;957.766
2017-11-18T00:00:00.000000;813.376
2017-11-19T00:00:00.000000;968.833
2017-11-20T00:00:00.000000;1.154.879
2017-11-21T00:00:00.000000;1.112.336
2017-11-22T00:00:00.000000;1.087.833
2017-11-23T00:00:00.000000;953.695
2017-11-24T00:00:00.000000;1.044.700
2017-11-25T00:00:00.000000;791.703
2017-11-26T00:00:00.000000;995.387
2017-11-27T00:00:00.000000;1.074.228
2017-11-28T00:00:00.000000;1.148.463
2017-11-29T00:00:00.000000;1.113.659
2017-11-30T00:00:00.000000;1.069.244
2017-12-01T00:00:00.000000;981.694
2017-12-02T00:00:00.000000;859.315
2017-12-03T00:00:00.000000;973.417
2017-12-04T00:00:00.000000;1.120.519
2017-12-05T00:00:00.000000;1.082.466
2017-12-06T00:00:00.000000;1.118.182
2017-12-07T00:00:00.000000;1.097.180
2017-12-08T00:00:00.000000;1.055.067
2017-12-09T00:00:00.000000;811.714
2017-12-10T00:00:00.000000;1.096.357
2017-12-11T00:00:00.000000;1.358.540
2017-12-12T00:00:00.000000;1.226.596
2017-12-13T00:00:00.000000;1.142.702
2017-12-14T00:00:00.000000;1.132.982
2017-12-15T00:00:00.000000;1.048.813
2017-12-16T00:00:00.000000;802.340
2017-12-17T00:00:00.000000;993.549
2017-12-18T00:00:00.000000;1.158.123
2017-12-19T00:00:00.000000;1.068.914
2017-12-20T00:00:00.000000;1.146.153
2017-12-21T00:00:00.000000;1.079.109
2017-12-22T00:00:00.000000;1.041.340
2017-12-24T00:00:00.000000;652.976
2017-12-25T00:00:00.000000;923.229
2017-12-26T00:00:00.000000;1.071.198
2017-12-27T00:00:00.000000;1.055.804
2017-12-29T00:00:00.000000;1.040.434
2017-12-30T00:00:00.000000;1.017.213
2017-12-31T00:00:00.000000;840.490
2018-01-01T00:00:00.000000;890.857
2018-01-02T00:00:00.000000;1.240.431
2018-01-03T00:00:00.000000;1.183.584
2018-01-04T00:00:00.000000;1.214.688
2018-01-05T00:00:00.000000;1.065.414
2018-01-06T00:00:00.000000;857.289
2018-01-07T00:00:00.000000;1.123.618
2018-01-08T00:00:00.000000;1.216.051
2018-01-09T00:00:00.000000;1.114.423
2018-01-10T00:00:00.000000;1.114.631
2018-01-11T00:00:00.000000;1.140.158
2018-01-12T00:00:00.000000;1.011.164
2018-01-13T00:00:00.000000;867.672
2018-01-14T00:00:00.000000;1.083.563
2018-01-15T00:00:00.000000;1.122.882
2018-01-16T00:00:00.000000;1.157.815
2018-01-17T00:00:00.000000;1.119.463
2018-01-18T00:00:00.000000;1.104.105
2018-01-19T00:00:00.000000;1.037.103
2018-01-20T00:00:00.000000;957.977
2018-01-21T00:00:00.000000;919.072
2018-01-22T00:00:00.000000;1.153.376
2018-01-23T00:00:00.000000;1.143.383
2018-01-24T00:00:00.000000;1.117.079
2018-01-25T00:00:00.000000;1.197.615
2018-01-26T00:00:00.000000;1.073.455
2018-01-27T00:00:00.000000;803.889
2018-01-28T00:00:00.000000;950.616
2018-01-29T00:00:00.000000;1.136.498
2018-01-30T00:00:00.000000;1.154.772
2018-01-31T00:00:00.000000;1.121.016
2018-02-01T00:00:00.000000;1.108.043
2018-02-02T00:00:00.000000;933.797
2018-02-03T00:00:00.000000;841.344
2018-02-04T00:00:00.000000;943.929
2018-02-05T00:00:00.000000;1.139.047
2018-02-06T00:00:00.000000;1.066.533
2018-02-07T00:00:00.000000;1.094.623
2018-02-08T00:00:00.000000;1.040.033
2018-02-09T00:00:00.000000;1.101.521
2018-02-10T00:00:00.000000;846.156
2018-02-11T00:00:00.000000;975.879
2018-02-12T00:00:00.000000;1.098.175
2018-02-13T00:00:00.000000;1.068.420
2018-02-14T00:00:00.000000;1.074.111
2018-02-15T00:00:00.000000;1.063.470
2018-02-16T00:00:00.000000;1.044.296
2018-02-17T00:00:00.000000;783.560
2018-02-18T00:00:00.000000;967.564
2018-02-19T00:00:00.000000;1.092.120
2018-02-20T00:00:00.000000;1.072.199
2018-02-21T00:00:00.000000;1.058.957
2018-02-22T00:00:00.000000;1.069.149
2018-02-23T00:00:00.000000;1.001.092
2018-02-24T00:00:00.000000;900.667
2018-02-25T00:00:00.000000;902.242
2018-02-26T00:00:00.000000;1.149.892
2018-02-27T00:00:00.000000;1.024.141
2018-02-28T00:00:00.000000;1.058.945
2018-03-01T00:00:00.000000;1.090.619
2018-03-02T00:00:00.000000;1.108.314
2018-03-03T00:00:00.000000;901.654
2018-03-04T00:00:00.000000;971.308
2018-03-05T00:00:00.000000;1.095.621
2018-03-06T00:00:00.000000;1.045.621
2018-03-07T00:00:00.000000;1.072.845
2018-03-08T00:00:00.000000;1.001.133
2018-03-09T00:00:00.000000;1.001.700
2018-03-10T00:00:00.000000;809.171
2018-03-11T00:00:00.000000;962.831
2018-03-12T00:00:00.000000;1.172.900
2018-03-13T00:00:00.000000;1.007.868
2018-03-14T00:00:00.000000;979.120
2018-03-15T00:00:00.000000;1.098.186
2018-03-16T00:00:00.000000;966.335
2018-03-17T00:00:00.000000;809.058
2018-03-18T00:00:00.000000;1.028.385
2018-03-19T00:00:00.000000;1.012.141
2018-03-20T00:00:00.000000;1.019.908
2018-03-21T00:00:00.000000;943.501
2018-03-22T00:00:00.000000;933.578
2018-03-23T00:00:00.000000;889.381
2018-03-24T00:00:00.000000;741.832
2018-03-25T00:00:00.000000;901.905
2018-03-26T00:00:00.000000;1.020.530
2018-03-27T00:00:00.000000;1.056.988
2018-03-28T00:00:00.000000;953.238
2018-03-29T00:00:00.000000;889.378
2018-03-30T00:00:00.000000;1.060.543
2018-03-31T00:00:00.000000;761.650
2018-04-01T00:00:00.000000;776.406
2018-04-01T00:00:00.000000;776.406
2018-04-02T00:00:00.000000;893.310
2018-04-03T00:00:00.000000;981.814
2018-04-04T00:00:00.000000;985.388
2018-04-05T00:00:00.000000;968.222
2018-04-06T00:00:00.000000;715.334
2018-04-07T00:00:00.000000;628.426
2018-04-08T00:00:00.000000;668.641
2018-04-09T00:00:00.000000;969.220
2018-04-10T00:00:00.000000;1.034.035
2018-04-11T00:00:00.000000;876.302
2018-04-12T00:00:00.000000;932.496
2018-04-13T00:00:00.000000;882.398
2018-04-14T00:00:00.000000;731.713
2018-04-15T00:00:00.000000;892.509
2018-04-16T00:00:00.000000;915.356
2018-04-17T00:00:00.000000;825.541
2018-04-18T00:00:00.000000;815.489
2018-04-19T00:00:00.000000;751.988
2018-04-20T00:00:00.000000;666.045
2018-04-21T00:00:00.000000;529.464
2018-04-22T00:00:00.000000;713.768
2018-04-23T00:00:00.000000;898.351
2018-04-24T00:00:00.000000;846.247
2018-04-25T00:00:00.000000;882.876
2018-04-26T00:00:00.000000;879.453
2018-04-27T00:00:00.000000;798.407
2018-04-28T00:00:00.000000;627.467
2018-04-29T00:00:00.000000;810.391
2018-04-30T00:00:00.000000;1.010.068
2018-05-01T00:00:00.000000;826.402
2018-05-02T00:00:00.000000;820.564
2018-05-03T00:00:00.000000;806.538
2018-05-04T00:00:00.000000;726.908
2018-05-05T00:00:00.000000;540.306
2018-05-06T00:00:00.000000;646.709
2018-05-07T00:00:00.000000;793.514
2018-05-08T00:00:00.000000;675.186
2018-05-09T00:00:00.000000;703.259
2018-05-10T00:00:00.000000;745.588
2018-05-11T00:00:00.000000;777.357
2018-05-12T00:00:00.000000;668.428
2018-05-13T00:00:00.000000;752.587
2018-05-14T00:00:00.000000;847.152
2018-05-15T00:00:00.000000;754.685
2018-05-16T00:00:00.000000;802.949
2018-05-17T00:00:00.000000;773.816
2018-05-19T00:00:00.000000;721.686
2018-05-20T00:00:00.000000;643.625
2018-05-21T00:00:00.000000;802.316
2018-05-22T00:00:00.000000;881.208
2018-05-23T00:00:00.000000;803.944
2018-05-24T00:00:00.000000;938.621
2018-05-25T00:00:00.000000;662.647
2018-05-26T00:00:00.000000;546.495
2018-05-27T00:00:00.000000;679.145
2018-05-28T00:00:00.000000;735.733
2018-05-29T00:00:00.000000;909.643
2018-05-30T00:00:00.000000;738.624
2018-05-31T00:00:00.000000;821.391
2018-06-01T00:00:00.000000;807.081
2018-06-02T00:00:00.000000;612.699
2018-06-03T00:00:00.000000;529.746
2018-06-04T00:00:00.000000;777.242
2018-06-05T00:00:00.000000;754.055
2018-06-06T00:00:00.000000;722.385
2018-06-07T00:00:00.000000;783.950
2018-06-08T00:00:00.000000;781.418
2018-06-09T00:00:00.000000;507.821
2018-06-10T00:00:00.000000;530.869
2018-06-11T00:00:00.000000;828.552
2018-06-12T00:00:00.000000;914.020
2018-06-13T00:00:00.000000;775.410
2018-06-14T00:00:00.000000;1.066.324
2018-06-15T00:00:00.000000;765.150
2018-06-16T00:00:00.000000;672.881
2018-06-17T00:00:00.000000;1.009.556
2018-06-18T00:00:00.000000;1.337.923
2018-06-19T00:00:00.000000;867.672
2018-06-20T00:00:00.000000;804.515
2018-06-21T00:00:00.000000;922.123
2018-06-22T00:00:00.000000;814.688
2018-06-23T00:00:00.000000;781.950
2018-06-24T00:00:00.000000;806.438
2018-06-25T00:00:00.000000;709.452
2018-06-26T00:00:00.000000;711.766
2018-06-27T00:00:00.000000;784.272
2018-06-28T00:00:00.000000;908.213
2018-06-29T00:00:00.000000;576.413
2018-06-30T00:00:00.000000;684.096
2018-07-01T00:00:00.000000;854.410
2018-07-02T00:00:00.000000;899.209
2018-07-03T00:00:00.000000;757.005
2018-07-04T00:00:00.000000;633.199
2018-07-05T00:00:00.000000;693.790
2018-07-06T00:00:00.000000;871.518
2018-07-07T00:00:00.000000;628.272
2018-07-08T00:00:00.000000;607.824
2018-07-09T00:00:00.000000;815.054
2018-07-10T00:00:00.000000;1.233.023
2018-07-11T00:00:00.000000;765.758
2018-07-12T00:00:00.000000;809.767
2018-07-13T00:00:00.000000;619.770
2018-07-14T00:00:00.000000;851.164
2018-07-15T00:00:00.000000;699.892
2018-07-15T00:00:00.000000;301.836
2018-07-16T00:00:00.000000;788.573
2018-07-17T00:00:00.000000;671.724
2018-07-18T00:00:00.000000;758.905
2018-07-19T00:00:00.000000;784.861
2018-07-20T00:00:00.000000;731.383
2018-07-21T00:00:00.000000;601.557
2018-07-22T00:00:00.000000;660.968
2018-07-23T00:00:00.000000;712.245
2018-07-24T00:00:00.000000;647.811
2018-07-25T00:00:00.000000;693.800
2018-07-26T00:00:00.000000;765.835
2018-07-27T00:00:00.000000;712.434
2018-07-28T00:00:00.000000;620.399
2018-07-29T00:00:00.000000;441.142
2018-07-30T00:00:00.000000;715.632
2018-07-31T00:00:00.000000;645.173
2018-08-01T00:00:00.000000;582.505
2018-08-02T00:00:00.000000;687.555
2018-08-03T00:00:00.000000;659.372
2018-08-04T00:00:00.000000;577.380
2018-08-05T00:00:00.000000;703.390
2018-08-06T00:00:00.000000;694.557
2018-08-07T00:00:00.000000;732.846
2018-08-08T00:00:00.000000;678.745
2018-08-09T00:00:00.000000;773.091
2018-08-10T00:00:00.000000;667.148
2018-08-11T00:00:00.000000;625.679
2018-08-12T00:00:00.000000;660.872
2018-08-13T00:00:00.000000;787.891
2018-08-14T00:00:00.000000;802.343
2018-08-15T00:00:00.000000;756.051
2018-08-16T00:00:00.000000;678.978
2018-08-17T00:00:00.000000;689.557
2018-08-18T00:00:00.000000;575.793
2018-08-19T00:00:00.000000;652.005
2018-08-20T00:00:00.000000;790.358
2018-08-21T00:00:00.000000;737.205
2018-08-22T00:00:00.000000;670.034
2018-08-23T00:00:00.000000;821.951
2018-08-24T00:00:00.000000;673.608
2018-08-25T00:00:00.000000;601.852
2018-08-26T00:00:00.000000;826.079
2018-08-27T00:00:00.000000;878.918
2018-08-28T00:00:00.000000;770.554
2018-08-29T00:00:00.000000;855.718
2018-08-30T00:00:00.000000;709.423
2018-08-31T00:00:00.000000;638.012
2018-09-01T00:00:00.000000;506.863
2018-09-02T00:00:00.000000;700.231
2018-09-03T00:00:00.000000;949.173
2018-09-04T00:00:00.000000;755.343
2018-09-05T00:00:00.000000;770.496
2018-09-06T00:00:00.000000;886.371
2018-09-07T00:00:00.000000;773.783
2018-09-08T00:00:00.000000;638.581
2018-09-09T00:00:00.000000;718.601
2018-09-10T00:00:00.000000;744.227
2018-09-11T00:00:00.000000;786.419
2018-09-12T00:00:00.000000;813.791
2018-09-13T00:00:00.000000;843.033
2018-09-14T00:00:00.000000;730.283
2018-09-15T00:00:00.000000;518.038
2018-09-16T00:00:00.000000;719.740
2018-09-17T00:00:00.000000;778.062
2018-09-18T00:00:00.000000;750.800
2018-09-19T00:00:00.000000;720.004
2018-09-20T00:00:00.000000;742.263
2018-09-21T00:00:00.000000;769.297
2018-09-22T00:00:00.000000;718.113
2018-09-23T00:00:00.000000;862.197
2018-09-24T00:00:00.000000;871.940
2018-09-25T00:00:00.000000;859.349
2018-09-26T00:00:00.000000;885.480
2018-09-27T00:00:00.000000;889.697
2018-09-28T00:00:00.000000;808.816
2018-09-29T00:00:00.000000;679.568
2018-09-30T00:00:00.000000;822.617
2018-10-01T00:00:00.000000;968.664
2018-10-02T00:00:00.000000;883.960
2018-10-03T00:00:00.000000;858.589
2018-10-04T00:00:00.000000;804.734
2018-10-05T00:00:00.000000;782.487
2018-10-06T00:00:00.000000;579.004
2018-10-07T00:00:00.000000;829.829
2018-10-08T00:00:00.000000;889.711
2018-10-09T00:00:00.000000;878.889
2018-10-10T00:00:00.000000;957.736
2018-10-11T00:00:00.000000;974.500
2018-10-12T00:00:00.000000;844.885
2018-10-13T00:00:00.000000;642.136
2018-10-15T00:00:00.000000;936.207
2018-10-16T00:00:00.000000;934.265
2018-10-17T00:00:00.000000;849.111
2018-10-18T00:00:00.000000;839.462
2018-10-19T00:00:00.000000;798.864
2018-10-20T00:00:00.000000;642.093
2018-10-21T00:00:00.000000;741.598
2018-10-22T00:00:00.000000;999.512
2018-10-23T00:00:00.000000;931.627
2018-10-24T00:00:00.000000;884.665
2018-10-25T00:00:00.000000;823.401
2018-10-26T00:00:00.000000;893.749
2018-10-27T00:00:00.000000;756.589
2018-10-28T00:00:00.000000;932.258
2018-10-29T00:00:00.000000;1.059.349
2018-10-30T00:00:00.000000;1.076.361
2018-11-01T00:00:00.000000;832.882
2018-11-02T00:00:00.000000;974.043
2018-11-03T00:00:00.000000;848.439
2018-11-04T00:00:00.000000;1.041.175
2018-11-05T00:00:00.000000;1.031.790
2018-11-06T00:00:00.000000;838.037
2018-11-07T00:00:00.000000;918.543
2018-11-08T00:00:00.000000;830.980
2018-11-09T00:00:00.000000;899.431
2018-11-10T00:00:00.000000;712.940
2018-11-11T00:00:00.000000;986.283
2018-11-12T00:00:00.000000;1.036.790
2018-11-13T00:00:00.000000;1.058.627
2018-11-14T00:00:00.000000;943.448
2018-11-15T00:00:00.000000;943.028
2018-11-16T00:00:00.000000;903.157
